	Emu_protein	Hmi_protein	Mco_protein
OG0003160	EmuJ_000524600.1	HmN_002018300.1	MCOS_0000089001-mRNA-1
OG0003161	EmuJ_000524700.1	HmN_000929400.1	MCOS_0000609601-mRNA-1
OG0003162	EmuJ_000524800.1	HmN_000415300.1	MCOS_0000609701-mRNA-1
OG0003163	EmuJ_000525500.1	HmN_000056100.1	MCOS_0000794801-mRNA-1
OG0003164	EmuJ_000525600.1	HmN_000054400.1	MCOS_0000795001-mRNA-1
OG0003165	EmuJ_000525800.1	HmN_002210600.1	MCOS_0000795101-mRNA-1
OG0003166	EmuJ_000525910.1	HmN_002210700.1	MCOS_0000795201-mRNA-1
OG0003167	EmuJ_000525920.1	HmN_002210800.1	MCOS_0000795301-mRNA-1
OG0003168	EmuJ_000526000.1	HmN_000054600.1	MCOS_0000396001-mRNA-1
OG0003169	EmuJ_000526100.1	HmN_000054700.1	MCOS_0000396101-mRNA-1
OG0003170	EmuJ_000526400.1	HmN_000055100.1	MCOS_0000059401-mRNA-1
OG0003171	EmuJ_000526700.1	HmN_000055300.1	MCOS_0000059701-mRNA-1
OG0003172	EmuJ_000526800.1	HmN_002289200.1	MCOS_0000059801-mRNA-1
OG0003173	EmuJ_000526900.1	HmN_000055500.1	MCOS_0000059901-mRNA-1
OG0003174	EmuJ_000527000.1	HmN_000055600.1	MCOS_0000060001-mRNA-1
OG0003175	EmuJ_000527100.1	HmN_000055700.1	MCOS_0000067501-mRNA-1
OG0003176	EmuJ_000527200.1	HmN_000055800.1	MCOS_0000067301-mRNA-1
OG0003177	EmuJ_000527350.1	HmN_000055900.1	MCOS_0000067101-mRNA-1
OG0003178	EmuJ_000527400.1	HmN_000054200.1	MCOS_0000010901-mRNA-1
OG0003179	EmuJ_000527600.1	HmN_000053500.1	MCOS_0000010601-mRNA-1
OG0003180	EmuJ_000528000.1	HmN_000053800.1	MCOS_0000719601-mRNA-1
OG0003181	EmuJ_000528200.1	HmN_000053100.1	MCOS_0000719701-mRNA-1
OG0003182	EmuJ_000528400.1	HmN_000053000.1	MCOS_0000329201-mRNA-1
OG0003183	EmuJ_000528500.1	HmN_000052900.1	MCOS_0000329301-mRNA-1
OG0003184	EmuJ_000528720.1	HmN_000052700.1	MCOS_0000746801-mRNA-1
OG0003185	EmuJ_000529300.1	HmN_000051900.1	MCOS_0000747301-mRNA-1
OG0003186	EmuJ_000529700.1	HmN_000051400.1	MCOS_0000900701-mRNA-1
OG0003187	EmuJ_000530000.1	HmN_000051100.1	MCOS_0000894101-mRNA-1
OG0003188	EmuJ_000530200.1	HmN_000050900.1	MCOS_0000894001-mRNA-1
OG0003189	EmuJ_000530300.1	HmN_002212400.1	MCOS_0000893901-mRNA-1
OG0003190	EmuJ_000530320.1	HmN_000050600.1	MCOS_0000893801-mRNA-1
OG0003191	EmuJ_000530340.1	HmN_000050500.1	MCOS_0000893701-mRNA-1
OG0003192	EmuJ_000530400.1	HmN_000582500.1	MCOS_0000054401-mRNA-1
OG0003193	EmuJ_000530600.1	HmN_000049800.1	MCOS_0000258801-mRNA-1
OG0003194	EmuJ_000531100.1	HmN_000803200.1	MCOS_0000640001-mRNA-1
OG0003195	EmuJ_000531200.1	HmN_002232400.1	MCOS_0000639801-mRNA-1
OG0003196	EmuJ_000531650.1	HmN_000666000.1	MCOS_0000250601-mRNA-1
OG0003197	EmuJ_000532000.1	HmN_000665900.1	MCOS_0000250701-mRNA-1
OG0003198	EmuJ_000532100.1	HmN_000665800.1	MCOS_0000127601-mRNA-1
OG0003199	EmuJ_000532300.1	HmN_002212700.1	MCOS_0000127901-mRNA-1
OG0003200	EmuJ_000532500.1	HmN_000666200.1	MCOS_0000824701-mRNA-1
OG0003201	EmuJ_000532700.1	HmN_000666400.1	MCOS_0000824801-mRNA-1
OG0003202	EmuJ_000532800.1	HmN_000666500.1	MCOS_0000824901-mRNA-1
OG0003203	EmuJ_000533400.1	HmN_000666900.1	MCOS_0000058201-mRNA-1
OG0003204	EmuJ_000533450.1	HmN_000667000.1	MCOS_0000058501-mRNA-1
OG0003205	EmuJ_000533600.1	HmN_000667100.1	MCOS_0000058701-mRNA-1
OG0003206	EmuJ_000533700.1	HmN_000667300.1	MCOS_0000058801-mRNA-1
OG0003207	EmuJ_000534000.1	HmN_000667600.1	MCOS_0000059001-mRNA-1
OG0003208	EmuJ_000534100.1	HmN_000667700.1	MCOS_0000059101-mRNA-1
OG0003209	EmuJ_000534200.1	HmN_000088000.1	MCOS_0000059301-mRNA-1
OG0003210	EmuJ_000534300.1	HmN_000087900.1	MCOS_0000240801-mRNA-1
OG0003211	EmuJ_000534400.1	HmN_000087800.1	MCOS_0000240901-mRNA-1
OG0003212	EmuJ_000535000.1	HmN_000655100.1	MCOS_0000080601-mRNA-1
OG0003213	EmuJ_000535100.1	HmN_000667800.1	MCOS_0000080501-mRNA-1
OG0003214	EmuJ_000535300.1	HmN_000876900.1	MCOS_0000231901-mRNA-1
OG0003215	EmuJ_000535500.1	HmN_000090100.1	MCOS_0000278301-mRNA-1
OG0003216	EmuJ_000535600.1	HmN_000090000.1	MCOS_0000278201-mRNA-1
OG0003217	EmuJ_000535700.1	HmN_000089900.1	MCOS_0000278101-mRNA-1
OG0003218	EmuJ_000535800.1	HmN_000089800.1	MCOS_0000278001-mRNA-1
OG0003219	EmuJ_000535900.1	HmN_000089700.1	MCOS_0000277901-mRNA-1
OG0003220	EmuJ_000536000.1	HmN_000089600.1	MCOS_0000267201-mRNA-1
OG0003221	EmuJ_000536100.1	HmN_000089500.1	MCOS_0000267301-mRNA-1
OG0003222	EmuJ_000536200.1	HmN_000089400.1	MCOS_0000267601-mRNA-1
OG0003223	EmuJ_000536400.1	HmN_000089300.1	MCOS_0000685701-mRNA-1
OG0003224	EmuJ_000536600.1	HmN_000089000.1	MCOS_0000085401-mRNA-1
OG0003225	EmuJ_000536700.1	HmN_000088900.1	MCOS_0000085301-mRNA-1
OG0003226	EmuJ_000536800.1	HmN_000088800.1	MCOS_0000085201-mRNA-1
OG0003227	EmuJ_000536900.1	HmN_000088700.1	MCOS_0000085101-mRNA-1
OG0003228	EmuJ_000537000.1	HmN_000088600.1	MCOS_0000204301-mRNA-1
OG0003229	EmuJ_000537050.1	HmN_000088500.1	MCOS_0000204401-mRNA-1
OG0003230	EmuJ_000537400.1	HmN_000088400.1	MCOS_0000080301-mRNA-1
OG0003231	EmuJ_000539000.1	HmN_000365300.1	MCOS_0000430701-mRNA-1
OG0003232	EmuJ_000539200.1	HmN_000365500.1	MCOS_0000328401-mRNA-1
OG0003233	EmuJ_000539400.1	HmN_000365600.1	MCOS_0000223801-mRNA-1
OG0003234	EmuJ_000539600.1	HmN_000365700.1	MCOS_0000224001-mRNA-1
OG0003235	EmuJ_000539900.1	HmN_000365100.1	MCOS_0000053701-mRNA-1
OG0003236	EmuJ_000540000.1	HmN_000365000.1	MCOS_0000053801-mRNA-1
OG0003237	EmuJ_000540100.1	HmN_002213800.1	MCOS_0000053901-mRNA-1
OG0003238	EmuJ_000540200.1	HmN_000364800.1	MCOS_0000054001-mRNA-1
OG0003239	EmuJ_000540300.1	HmN_000364700.1	MCOS_0000054501-mRNA-1
OG0003240	EmuJ_000543500.1	HmN_000582600.1	MCOS_0000231201-mRNA-1
OG0003241	EmuJ_000543800.1	HmN_000582300.1	MCOS_0000775501-mRNA-1
OG0003242	EmuJ_000544000.1	HmN_000582000.1	MCOS_0000775701-mRNA-1
OG0003243	EmuJ_000544400.1	HmN_000581500.1	MCOS_0000776001-mRNA-1
OG0003244	EmuJ_000544600.1	HmN_000581600.1	MCOS_0000776101-mRNA-1
OG0003245	EmuJ_000544800.1	HmN_000581700.1	MCOS_0000776201-mRNA-1
OG0003246	EmuJ_000545600.1	HmN_000231400.1	MCOS_0000226301-mRNA-1
OG0003247	EmuJ_000546300.1	HmN_000880500.1	MCOS_0000118301-mRNA-1
OG0003248	EmuJ_000546400.1	HmN_000880400.1	MCOS_0000118201-mRNA-1
OG0003249	EmuJ_000546700.1	HmN_000880200.1	MCOS_0000118101-mRNA-1
OG0003250	EmuJ_000546900.1	HmN_000880100.1	MCOS_0000117901-mRNA-1
OG0003251	EmuJ_000547100.1	HmN_000880000.1	MCOS_0000117801-mRNA-1
OG0003252	EmuJ_000547200.1	HmN_002214200.1	MCOS_0000117601-mRNA-1
OG0003253	EmuJ_000547300.1	HmN_001019900.1	MCOS_0000891401-mRNA-1
OG0003254	EmuJ_000547400.1	HmN_000580700.1	MCOS_0000891301-mRNA-1
OG0003255	EmuJ_000547500.1	HmN_002214100.1	MCOS_0000891201-mRNA-1
OG0003256	EmuJ_000547900.1	HmN_000581000.1	MCOS_0000329901-mRNA-1
OG0003257	EmuJ_000548400.1	HmN_000581400.1	MCOS_0000775801-mRNA-1
OG0003258	EmuJ_000548900.1	HmN_000881000.1	MCOS_0000733801-mRNA-1
OG0003259	EmuJ_000549500.1	HmN_000765200.1	MCOS_0000733601-mRNA-1
OG0003260	EmuJ_000549600.1	HmN_000765100.1	MCOS_0000733501-mRNA-1
OG0003261	EmuJ_000550200.1	HmN_000764000.1	MCOS_0000337001-mRNA-1
OG0003262	EmuJ_000550300.1	HmN_000763900.1	MCOS_0000979901-mRNA-1
OG0003263	EmuJ_000550600.1	HmN_000763800.1	MCOS_0000979701-mRNA-1
OG0003264	EmuJ_000550700.1	HmN_000763600.1	MCOS_0000968301-mRNA-1
OG0003265	EmuJ_000551000.1	HmN_000362200.1	MCOS_0000205501-mRNA-1
OG0003266	EmuJ_000551400.1	HmN_000362600.1	MCOS_0000293801-mRNA-1
OG0003267	EmuJ_000551600.1	HmN_000362700.1	MCOS_0000294001-mRNA-1
OG0003268	EmuJ_000552000.1	HmN_000363000.1	MCOS_0000150301-mRNA-1
OG0003269	EmuJ_000552400.1	HmN_000363100.1	MCOS_0000150401-mRNA-1
OG0003270	EmuJ_000552600.1	HmN_000363400.1	MCOS_0000979501-mRNA-1
OG0003271	EmuJ_000552900.1	HmN_000363600.1	MCOS_0000150701-mRNA-1
OG0003272	EmuJ_000553100.1	HmN_000582800.1	MCOS_0000150801-mRNA-1
OG0003273	EmuJ_000553300.1	HmN_000583000.1	MCOS_0000294201-mRNA-1
OG0003274	EmuJ_000555100.1	HmN_000256300.1	MCOS_0000868501-mRNA-1
OG0003275	EmuJ_000555600.1	HmN_000925400.1	MCOS_0000868701-mRNA-1
OG0003276	EmuJ_000555900.1	HmN_000257000.1	MCOS_0000868801-mRNA-1
OG0003277	EmuJ_000556000.1	HmN_000257100.1	MCOS_0000992401-mRNA-1
OG0003278	EmuJ_000557100.1	HmN_000257500.1	MCOS_0001015901-mRNA-1
OG0003279	EmuJ_000558300.1	HmN_000257900.1	MCOS_0000863801-mRNA-1
OG0003280	EmuJ_000558400.1	HmN_000261200.1	MCOS_0000863701-mRNA-1
OG0003281	EmuJ_000558700.1	HmN_000261100.1	MCOS_0000863501-mRNA-1
OG0003282	EmuJ_000568300.1	HmN_000191400.1	MCOS_0000549001-mRNA-1
OG0003283	EmuJ_000568500.1	HmN_000191300.1	MCOS_0000548901-mRNA-1
OG0003284	EmuJ_000568600.1	HmN_000191200.1	MCOS_0000002101-mRNA-1
OG0003285	EmuJ_000568800.1	HmN_000191100.1	MCOS_0000550601-mRNA-1
OG0003286	EmuJ_000568900.1	HmN_000190900.1	MCOS_0000551001-mRNA-1
OG0003287	EmuJ_000569100.1	HmN_000190800.1	MCOS_0000551201-mRNA-1
OG0003288	EmuJ_000569200.1	HmN_000190700.1	MCOS_0000551401-mRNA-1
OG0003289	EmuJ_000569300.1	HmN_000190600.1	MCOS_0000551501-mRNA-1
OG0003290	EmuJ_000569400.1	HmN_000190500.1	MCOS_0000551601-mRNA-1
OG0003291	EmuJ_000569800.1	HmN_000190200.1	MCOS_0000551801-mRNA-1
OG0003292	EmuJ_000570000.1	HmN_000190100.1	MCOS_0000551901-mRNA-1
OG0003293	EmuJ_000570100.1	HmN_000190000.1	MCOS_0000626901-mRNA-1
OG0003294	EmuJ_000570200.1	HmN_000591800.1	MCOS_0000626701-mRNA-1
OG0003295	EmuJ_000570300.1	HmN_000591700.1	MCOS_0000626601-mRNA-1
OG0003296	EmuJ_000570400.1	HmN_000591600.1	MCOS_0000626501-mRNA-1
OG0003297	EmuJ_000570500.1	HmN_000591500.1	MCOS_0000626301-mRNA-1
OG0003298	EmuJ_000570600.1	HmN_000591400.1	MCOS_0000626201-mRNA-1
OG0003299	EmuJ_000570700.1	HmN_000591200.1	MCOS_0000626101-mRNA-1
OG0003300	EmuJ_000570800.1	HmN_000591100.1	MCOS_0000626001-mRNA-1
OG0003301	EmuJ_000570900.1	HmN_000590900.1	MCOS_0000625901-mRNA-1
OG0003302	EmuJ_000571000.1	HmN_000148800.1	MCOS_0001018201-mRNA-1
OG0003303	EmuJ_000571100.1	HmN_000590800.1	MCOS_0001018101-mRNA-1
OG0003304	EmuJ_000571300.1	HmN_000590600.1	MCOS_0000593301-mRNA-1
OG0003305	EmuJ_000571900.1	HmN_000590300.1	MCOS_0000593701-mRNA-1
OG0003306	EmuJ_000572100.1	HmN_000975900.1	MCOS_0000593801-mRNA-1
OG0003307	EmuJ_000572300.1	HmN_000586900.1	MCOS_0000844401-mRNA-1
OG0003308	EmuJ_000572500.1	HmN_000192700.1	MCOS_0000844501-mRNA-1
OG0003309	EmuJ_000572700.1	HmN_000192900.1	MCOS_0000844801-mRNA-1
OG0003310	EmuJ_000573200.1	HmN_000193300.1	MCOS_0000925501-mRNA-1
OG0003311	EmuJ_000573300.1	HmN_000197400.1	MCOS_0000925301-mRNA-1
OG0003312	EmuJ_000573400.1	HmN_000197300.1	MCOS_0000925201-mRNA-1
OG0003313	EmuJ_000573500.1	HmN_000194500.1	MCOS_0000109601-mRNA-1
OG0003314	EmuJ_000573700.1	HmN_000194400.1	MCOS_0000109701-mRNA-1
OG0003315	EmuJ_000573900.1	HmN_000194200.1	MCOS_0000109901-mRNA-1
OG0003316	EmuJ_000574000.1	HmN_000064700.1	MCOS_0000110001-mRNA-1
OG0003317	EmuJ_000574100.1	HmN_000278500.1	MCOS_0000110201-mRNA-1
OG0003318	EmuJ_000574200.1	HmN_000064600.1	MCOS_0000110301-mRNA-1
OG0003319	EmuJ_000574300.1	HmN_000064500.1	MCOS_0000293301-mRNA-1
OG0003320	EmuJ_000574900.1	HmN_000067100.1	MCOS_0000926001-mRNA-1
OG0003321	EmuJ_000575900.1	HmN_000067200.1	MCOS_0000173701-mRNA-1
OG0003322	EmuJ_000576000.1	HmN_000067300.1	MCOS_0000173801-mRNA-1
OG0003323	EmuJ_000576400.1	HmN_000343100.1	MCOS_0000734901-mRNA-1
OG0003324	EmuJ_000576600.1	HmN_000067600.1	MCOS_0000221001-mRNA-1
OG0003325	EmuJ_000576700.1	HmN_000067700.1	MCOS_0000221401-mRNA-1
OG0003326	EmuJ_000580300.1	HmN_000623700.1	MCOS_0000838701-mRNA-1
OG0003327	EmuJ_000580400.1	HmN_000907100.1	MCOS_0000401601-mRNA-1
OG0003328	EmuJ_000580600.1	HmN_000100700.1	MCOS_0000923001-mRNA-1
OG0003329	EmuJ_000580800.1	HmN_000100900.1	MCOS_0000923101-mRNA-1
OG0003330	EmuJ_000581000.1	HmN_000101100.1	MCOS_0000923301-mRNA-1
OG0003331	EmuJ_000581100.1	HmN_000101000.1	MCOS_0000069601-mRNA-1
OG0003332	EmuJ_000581200.1	HmN_000101200.1	MCOS_0000425001-mRNA-1
OG0003333	EmuJ_000581400.1	HmN_000101300.1	MCOS_0000827201-mRNA-1
OG0003334	EmuJ_000581500.1	HmN_000101400.1	MCOS_0000827301-mRNA-1
OG0003335	EmuJ_000581600.1	HmN_000101500.1	MCOS_0000827401-mRNA-1
OG0003336	EmuJ_000581700.1	HmN_000101600.1	MCOS_0000827501-mRNA-1
OG0003337	EmuJ_000581800.1	HmN_000101700.1	MCOS_0000827701-mRNA-1
OG0003338	EmuJ_000581900.1	HmN_000101800.1	MCOS_0000827801-mRNA-1
OG0003339	EmuJ_000582100.1	HmN_000101900.1	MCOS_0000827901-mRNA-1
OG0003340	EmuJ_000582200.1	HmN_000102000.1	MCOS_0000828001-mRNA-1
OG0003341	EmuJ_000582300.1	HmN_000102100.1	MCOS_0000828101-mRNA-1
OG0003342	EmuJ_000582400.1	HmN_000102200.1	MCOS_0000942701-mRNA-1
OG0003343	EmuJ_000582500.1	HmN_002188400.1	MCOS_0000942801-mRNA-1
OG0003344	EmuJ_000582650.1	HmN_000102400.1	MCOS_0000182501-mRNA-1
OG0003345	EmuJ_000582700.1	HmN_000102500.1	MCOS_0000182401-mRNA-1
OG0003346	EmuJ_000582800.1	HmN_000102600.1	MCOS_0000182301-mRNA-1
OG0003347	EmuJ_000582900.1	HmN_000102700.1	MCOS_0000182201-mRNA-1
OG0003348	EmuJ_000583000.1	HmN_000236100.1	MCOS_0000182101-mRNA-1
OG0003349	EmuJ_000583100.1	HmN_000236200.1	MCOS_0000182001-mRNA-1
OG0003350	EmuJ_000583400.1	HmN_000236400.1	MCOS_0000226701-mRNA-1
OG0003351	EmuJ_000584100.1	HmN_002189100.1	MCOS_0000793301-mRNA-1
OG0003352	EmuJ_000584900.1	HmN_000623000.1	MCOS_0000320701-mRNA-1
OG0003353	EmuJ_000585000.1	HmN_000622900.1	MCOS_0000320601-mRNA-1
OG0003354	EmuJ_000585700.1	HmN_000622600.1	MCOS_0000799901-mRNA-1
OG0003355	EmuJ_000585800.1	HmN_000237700.1	MCOS_0000799801-mRNA-1
OG0003356	EmuJ_000585900.1	HmN_000237800.1	MCOS_0000799701-mRNA-1
OG0003357	EmuJ_000586000.1	HmN_000237900.1	MCOS_0000799501-mRNA-1
OG0003358	EmuJ_000586200.1	HmN_000238000.1	MCOS_0000799301-mRNA-1
OG0003359	EmuJ_000586300.1	HmN_000238100.1	MCOS_0000799201-mRNA-1
OG0003360	EmuJ_000586400.1	HmN_002189200.1	MCOS_0000799101-mRNA-1
OG0003361	EmuJ_000586500.1	HmN_000238200.1	MCOS_0000799001-mRNA-1
OG0003362	EmuJ_000587000.1	HmN_002189300.1	MCOS_0001021201-mRNA-1
OG0003363	EmuJ_000587400.1	HmN_000238600.1	MCOS_0000197201-mRNA-1
OG0003364	EmuJ_000587500.1	HmN_000238700.1	MCOS_0000197101-mRNA-1
OG0003365	EmuJ_000587600.1	HmN_000238800.1	MCOS_0000197001-mRNA-1
OG0003366	EmuJ_000587700.1	HmN_000238900.1	MCOS_0000196901-mRNA-1
OG0003367	EmuJ_000587800.1	HmN_000239100.1	MCOS_0000196801-mRNA-1
OG0003368	EmuJ_000587900.1	HmN_000239200.1	MCOS_0000793501-mRNA-1
OG0003369	EmuJ_000588700.1	HmN_000239500.1	MCOS_0000731601-mRNA-1
OG0003370	EmuJ_000589200.1	HmN_000239800.1	MCOS_0000732001-mRNA-1
OG0003371	EmuJ_000589400.1	HmN_000239900.1	MCOS_0000732101-mRNA-1
OG0003372	EmuJ_000589700.1	HmN_000240100.1	MCOS_0000629501-mRNA-1
OG0003373	EmuJ_000589900.1	HmN_000240200.1	MCOS_0000629801-mRNA-1
OG0003374	EmuJ_000590000.1	HmN_000240300.1	MCOS_0000629701-mRNA-1
OG0003375	EmuJ_000590900.1	HmN_000240600.1	MCOS_0000630101-mRNA-1
OG0003376	EmuJ_000591000.1	HmN_000240800.1	MCOS_0000630201-mRNA-1
OG0003377	EmuJ_000591100.1	HmN_000240700.1	MCOS_0000630401-mRNA-1
OG0003378	EmuJ_000591200.1	HmN_002196900.1	MCOS_0000630501-mRNA-1
OG0003379	EmuJ_000591300.1	HmN_000241100.1	MCOS_0000630601-mRNA-1
OG0003380	EmuJ_000591600.1	HmN_000241200.1	MCOS_0000230001-mRNA-1
OG0003381	EmuJ_000591700.1	HmN_000241300.1	MCOS_0000229901-mRNA-1
OG0003382	EmuJ_000591800.1	HmN_002196700.1	MCOS_0000247401-mRNA-1
OG0003383	EmuJ_000591900.1	HmN_000241400.1	MCOS_0000247301-mRNA-1
OG0003384	EmuJ_000592000.1		MCOS_0000057501-mRNA-1, MCOS_0000057601-mRNA-1
OG0003385	EmuJ_000592400.1	HmN_000241900.1	MCOS_0000057201-mRNA-1
OG0003386	EmuJ_000592600.1	HmN_000382200.1	MCOS_0000057001-mRNA-1
OG0003387	EmuJ_000592900.1	HmN_000382100.1	MCOS_0000394401-mRNA-1
OG0003388	EmuJ_000593000.1	HmN_000382000.1	MCOS_0000394301-mRNA-1
OG0003389	EmuJ_000593500.1	HmN_000381600.1	MCOS_0000857901-mRNA-1
OG0003390	EmuJ_000593800.1	HmN_000381500.1	MCOS_0000857801-mRNA-1
OG0003391	EmuJ_000593900.1	HmN_000381400.1	MCOS_0000857701-mRNA-1
OG0003392	EmuJ_000594000.1	HmN_000381300.1	MCOS_0000857601-mRNA-1
OG0003393	EmuJ_000594100.1	HmN_000381200.1	MCOS_0000857501-mRNA-1
OG0003394	EmuJ_000594300.1	HmN_000002400.1	MCOS_0000250201-mRNA-1
OG0003395	EmuJ_000594400.1	HmN_000002300.1	MCOS_0000250101-mRNA-1
OG0003396	EmuJ_000594700.1	HmN_000002200.1	MCOS_0000072101-mRNA-1
OG0003397	EmuJ_000594800.1	HmN_000002000.1	MCOS_0000071701-mRNA-1
OG0003398	EmuJ_000594900.1	HmN_000002100.1	MCOS_0000071801-mRNA-1
OG0003399	EmuJ_000595000.1	HmN_000001900.1	MCOS_0000071901-mRNA-1
OG0003400	EmuJ_000595100.1	HmN_000001800.1	MCOS_0000072001-mRNA-1
OG0003401	EmuJ_000595200.1	HmN_000001700.1	MCOS_0000071601-mRNA-1
OG0003402	EmuJ_000595500.1	HmN_000082300.1	MCOS_0000325101-mRNA-1
OG0003403	EmuJ_000596100.1	HmN_000082800.1	MCOS_0000608201-mRNA-1
OG0003404	EmuJ_000596300.1	HmN_000083000.1	MCOS_0000608801-mRNA-1
OG0003405	EmuJ_000596400.1	HmN_000083700.1	MCOS_0000608701-mRNA-1
OG0003406	EmuJ_000596800.1	HmN_000083400.1	MCOS_0000609001-mRNA-1
OG0003407	EmuJ_000596900.1	HmN_000083800.1	MCOS_0000609101-mRNA-1
OG0003408	EmuJ_000597000.1	HmN_000083900.1	MCOS_0000609201-mRNA-1
OG0003409	EmuJ_000597100.1	HmN_000084000.1	MCOS_0000609301-mRNA-1
OG0003410	EmuJ_000597500.1	HmN_000084300.1	MCOS_0001044901-mRNA-1
OG0003411	EmuJ_000597600.1	HmN_000084500.1	MCOS_0001052201-mRNA-1
OG0003412	EmuJ_000597700.1	HmN_000084600.1	MCOS_0000886101-mRNA-1
OG0003413	EmuJ_000597800.1	HmN_000084800.1	MCOS_0000886201-mRNA-1
OG0003414	EmuJ_000597900.1	HmN_000084900.1	MCOS_0000886301-mRNA-1
OG0003415	EmuJ_000598000.1	HmN_000085000.1	MCOS_0000886401-mRNA-1
OG0003416	EmuJ_000598100.1	HmN_000085100.1	MCOS_0000008301-mRNA-1
OG0003417	EmuJ_000598400.1	HmN_000085400.1	MCOS_0000008701-mRNA-1
OG0003418	EmuJ_000598500.1	HmN_000085500.1	MCOS_0000008801-mRNA-1
OG0003419	EmuJ_000598600.1	HmN_000085600.1	MCOS_0000008901-mRNA-1
OG0003420	EmuJ_000598900.1	HmN_000085800.1	MCOS_0000009101-mRNA-1
OG0003421	EmuJ_000599100.1	HmN_000087000.1	MCOS_0000009301-mRNA-1
OG0003422	EmuJ_000599500.1	HmN_000086200.1	MCOS_0000045601-mRNA-1
OG0003423	EmuJ_000599600.1	HmN_000005800.1	MCOS_0000045701-mRNA-1
OG0003424	EmuJ_000599900.1	HmN_000087400.1	MCOS_0000045901-mRNA-1
OG0003425	EmuJ_000600100.1	HmN_000087500.1	MCOS_0000046001-mRNA-1
OG0003426	EmuJ_000600500.1	HmN_000087200.1	MCOS_0000046201-mRNA-1
OG0003427	EmuJ_000600600.1	HmN_000087700.1	MCOS_0000381001-mRNA-1
OG0003428	EmuJ_000600800.1	HmN_000086900.1	MCOS_0000242701-mRNA-1
OG0003429	EmuJ_000601000.1	HmN_000086700.1	MCOS_0000657301-mRNA-1
OG0003430	EmuJ_000601500.1	HmN_002055700.1	MCOS_0000657601-mRNA-1
OG0003431	EmuJ_000601600.1	HmN_000006000.1	MCOS_0000657701-mRNA-1
OG0003432	EmuJ_000601700.1	HmN_000006300.1	MCOS_0000657801-mRNA-1
OG0003433	EmuJ_000601800.1	HmN_000006400.1	MCOS_0000658001-mRNA-1
OG0003434	EmuJ_000601900.1	HmN_000006500.1	MCOS_0000319601-mRNA-1
OG0003435	EmuJ_000602000.1	HmN_000006600.1	MCOS_0000871101-mRNA-1
OG0003436	EmuJ_000602100.1	HmN_000006700.1	MCOS_0000871001-mRNA-1
OG0003437	EmuJ_000602300.1	HmN_000007300.1	MCOS_0000870801-mRNA-1
OG0003438	EmuJ_000602500.1	HmN_000007500.1	MCOS_0000870601-mRNA-1
OG0003439	EmuJ_000602600.1	HmN_000007600.1	MCOS_0000870501-mRNA-1
OG0003440	EmuJ_000602900.1	HmN_000007800.1	MCOS_0000162601-mRNA-1
OG0003441	EmuJ_000603000.1	HmN_000008100.1	MCOS_0000566801-mRNA-1
OG0003442	EmuJ_000603100.1	HmN_000008000.1	MCOS_0000566701-mRNA-1
OG0003443	EmuJ_000603200.1	HmN_000008200.1	MCOS_0000566601-mRNA-1
OG0003444	EmuJ_000603400.1	HmN_000008300.1	MCOS_0000566401-mRNA-1
OG0003445	EmuJ_000603500.1	HmN_000008400.1	MCOS_0000566301-mRNA-1
OG0003446	EmuJ_000603600.1	HmN_000008500.1	MCOS_0000566201-mRNA-1
OG0003447	EmuJ_000603700.1	HmN_000008600.1	MCOS_0000566101-mRNA-1
OG0003448	EmuJ_000603900.1	HmN_000008700.1	MCOS_0000565601-mRNA-1
OG0003449	EmuJ_000604200.1	HmN_000008800.1	MCOS_0000565501-mRNA-1
OG0003450	EmuJ_000604500.1	HmN_000009100.1	MCOS_0000565301-mRNA-1
OG0003451	EmuJ_000604600.1	HmN_000009200.1	MCOS_0000565201-mRNA-1
OG0003452	EmuJ_000604700.1	HmN_000009300.1	MCOS_0000565101-mRNA-1
OG0003453	EmuJ_000604900.1	HmN_000009400.1	MCOS_0000565001-mRNA-1
OG0003454	EmuJ_000605000.1	HmN_000009500.1	MCOS_0000973001-mRNA-1
OG0003455	EmuJ_000605100.1	HmN_000010100.1	MCOS_0000972901-mRNA-1
OG0003456	EmuJ_000605300.1	HmN_000009900.1	MCOS_0000051001-mRNA-1
OG0003457	EmuJ_000605500.1	HmN_000010300.1	MCOS_0000050901-mRNA-1
OG0003458	EmuJ_000605600.1	HmN_000010400.1	MCOS_0000050601-mRNA-1
OG0003459	EmuJ_000605700.1	HmN_000010500.1	MCOS_0001023901-mRNA-1
OG0003460	EmuJ_000606300.1	HmN_000010800.1	MCOS_0000573101-mRNA-1
OG0003461	EmuJ_000607000.1	HmN_000011400.1	MCOS_0000572601-mRNA-1
OG0003462	EmuJ_000607400.1	HmN_000011800.1	MCOS_0000572501-mRNA-1
OG0003463	EmuJ_000607500.1	HmN_000011950.1	MCOS_0000572401-mRNA-1
OG0003464	EmuJ_000607600.1	HmN_000012100.1	MCOS_0000572301-mRNA-1
OG0003465	EmuJ_000607800.1	HmN_000012200.1	MCOS_0000572201-mRNA-1
OG0003466	EmuJ_000607900.1	HmN_000012300.1	MCOS_0000572001-mRNA-1
OG0003467	EmuJ_000608000.1	HmN_000012600.1	MCOS_0000143601-mRNA-1
OG0003468	EmuJ_000608100.1	HmN_000012500.1	MCOS_0000143501-mRNA-1
OG0003469	EmuJ_000608300.1	HmN_000012800.1	MCOS_0000143401-mRNA-1
